E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/25e1fd5f.jpg,9,113,1032,357,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/c26340b7.jpg,54,168,1013,454,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/01b83639.jpg,27,22,519,282,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/066860e3.jpg,19,4,155,82,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/070e6c95.jpg,13,20,620,260,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/9ef8f259.jpg,2,161,692,280,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/4b2151f2.jpg,5,53,1019,467,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/2f67d035.jpg,6,9,760,238,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/5660bdff.jpg,24,157,903,476,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/5d3382ef.jpg,19,45,1021,528,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/c4c6c942.jpg,134,165,507,294,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/aa8eb427.jpg,0,7,947,376,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/01e37453.jpg,64,113,985,517,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/d38950c4.jpg,76,144,937,454,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/d2918741.jpg,9,23,1037,360,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/d982ca00.jpg,11,162,1039,353,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/f86e1863.jpg,23,31,1020,596,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/06654cf5.jpg,248,305,706,404,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/e86e3b6b.jpg,5,5,1024,206,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/47575ccc.jpg,1,5,859,237,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/00d3d48c.jpg,74,84,954,231,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/03fb2408.jpg,111,95,897,355,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/ae0da61c.jpg,4,11,1033,452,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/d37fe2ad.jpg,22,172,1026,469,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/0bfb2b72.jpg,13,16,1035,226,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/58d7343f.jpg,14,16,1044,338,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/cd583fcd.jpg,20,107,983,329,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/3f54e6ce.jpg,14,50,1009,516,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/ff2c20cc.jpg,17,121,974,454,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/06ffe77b.jpg,59,10,816,379,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/0356c5ed.jpg,256,176,850,283,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/d8604df9.jpg,24,16,1025,278,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/a56e284c.jpg,97,90,931,557,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/a6ed653c.jpg,10,97,1035,445,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/3050c5de.jpg,200,170,833,397,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/e71a9d7d.jpg,8,6,1038,144,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/15b876d6.jpg,20,37,1027,381,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/43301acf.jpg,75,174,977,471,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/2eb590c7.jpg,11,8,649,245,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/06bfa037.jpg,31,90,966,315,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/6a9511df.jpg,27,21,1034,257,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/0a22ee49.jpg,94,49,208,88,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/6a1edcf7.jpg,80,132,918,590,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/04867dab.jpg,26,37,1030,356,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/1eaa1e06.jpg,15,18,567,216,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/9d23d9ef.jpg,26,23,1040,371,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/10bc0024.jpg,25,17,1036,191,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/019cd867.jpg,22,152,1021,428,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/543b492b.jpg,82,113,965,322,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/cd2a01bc.jpg,12,6,1027,359,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/d271f15d.jpg,58,132,740,262,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/5e2fcd9d.jpg,236,222,901,528,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/a6d0e8a5.jpg,16,14,850,297,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/91b2b0a0.jpg,1,7,1047,323,whale
E:\Projects_2TB\2018_12_Whale_Identification/input/playground/train/76b6f960.jpg,10,26,1049,301,whale
